filename,class,ra,dec,ID,,catname, period,p2,p3,p4,
0.739:ID:FHK_158.png,2,313.0046667,44.54416667,FHK_158,,205201.11+443239.0,1.261518,4.761489,,,
0.745:ID:GDR1_2163144541882323584.png,3,313.0111444,44.45799696,GDR1_2163144541882323584,,205202.67+442728.7,4.104,,,,
0.904:ID:GDR1_2163144576233088640.png,3,313.0152968,44.47723292,GDR1_2163144576233088640,,205203.67+442838.0,,,,,
0.803:ID:FHK_163.png,3,313.0193333,44.62511111,FHK_163,,205204.63+443730.3,,,,,
0.742:ID:FHK_164.png,3,313.0220417,44.29147222,FHK_164,,205205.28+441729.3,10.186712,1.105537,0.910494,0.475959,"this is a tough one as all four peaks look real in both g and r, but all  except first *could* be windowing"
0.942:ID:FHK_165.png,3,313.0252083,44.28777778,FHK_165,,205206.04+441715.9,,,,,
0.600:ID:FHK_530.png,1,313.028,44.48988889,FHK_530,,205206.72+442755.4,,,,,
0.914:ID:GDR1_2162956903341232128.png,3,313.0280021,44.46539059,GDR1_2162956903341232128,,205206.72+442923.6,11.566,,,,
0.350:ID:FHK_172.png,1,313.0482083,44.29855556,FHK_172,,205211.56+441754.8,3.537,,,,
0.888:ID:GDR1_2162955185352996096.png,3,313.0539041,44.34816855,GDR1_2162955185352996096,,205212.93+442053.4,,,,,
0.729:ID:GDR1_2066844954118735744.png,2,313.0565417,43.67747481,GDR1_2066844954118735744,,205213.56+434038.9,9.085,,,,
0.709:ID:GDR1_2066790146043148928.png,3,313.0630948,43.5020679,GDR1_2066790146043148928,,205215.14+433007.4,,,,,
0.891:ID:FHK_179.png,3,313.063125,44.28908333,FHK_179,,205215.15+441720.6,,,,,
0.751:ID:FHK_181.png,3,313.064375,44.46972222,FHK_181,,205215.45+442811.0,,,,,
0.385:ID:FHK_182.png,1,313.069625,44.25811111,FHK_182,,205216.70+441529.1,7.867,,,,
0.339:ID:FHK_183.png,1,313.074375,44.35444444,FHK_183,,205217.84+442116.0,3.212,,,,
0.863:ID:GDR1_2162955803828359040.png,3,313.0766348,44.41724782,GDR1_2162955803828359040,,205218.39+442502.0,,,,,
0.936:ID:GDR1_2162945976943020416.png,3,313.0767383,44.27513467,GDR1_2162945976943020416,,205218.41+441630.4,,,,,
0.910:ID:GDR1_2162930652500328832.png,3,313.076906,44.08750952,GDR1_2162930652500328832,,205218.45+440515.0,,,,,
0.721:ID:GDR1_2162944911791083136.png,3,313.0938566,44.23337851,GDR1_2162944911791083136,,205222.52+441400.1,3.01,,,,
0.185:ID:FHK_192.png,1,313.097,43.08236111,FHK_192,,205223.27+430456.4,7.232,,,,
0.366:ID:FHK_200.png,1,313.1092083,44.57394444,FHK_200,,205226.20+443426.1,1.433,,,,
0.821:ID:GDR2_2162951684957670144.png,3,313.1115177,44.28513874,GDR2_2162951684957670144,,205226.76+441706.4,,,,,
0.496:ID:FHK_532.png,2,313.111625,44.6185,FHK_532,,205226.79+443706.5,4.112,,,,
0.899:ID:FHK_203.png,3,313.1132917,44.07752778,FHK_203,,205227.19+440439.1,,,,,
0.803:ID:GDR1_2162931786370808448.png,3,313.1168028,44.05861394,GDR1_2162931786370808448,,205228.03+440331.0,,,,,
0.679:ID:GDR1_2162952470933669632.png,2,313.1180078,44.35405342,GDR1_2162952470933669632,,205228.32+442114.5,5.79,,,,
0.595:ID:2MASS_J20522880+4418297.png,2,313.1200225,44.30822975,2MASS_J20522880+4418297,,205228.80+441829.6,9.991,,,,
0.895:ID:FHK_210.png,3,313.1287083,44.33655556,FHK_210,,205230.88+442011.6,,,,,
0.549:ID:FHK_531.png,2,313.1360833,44.44227778,FHK_531,,205232.66+442632.1,5.329,,,,
0.833:ID:FHK_213.png,3,313.1409167,44.40719444,FHK_213,,205233.82+442425.8,8.947,,,,
0.291:ID:2MASS_J20523394+4429168.png,1,313.1414374,44.48800175,2MASS_J20523394+4429168,,205233.94+442916.8,8.627,,,,
0.727:ID:GDR1_2162951749379088640.png,3,313.1432193,44.2944995,GDR1_2162951749379088640,,205234.37+441740.1,7.278,,,,
0.170:ID:FHK_216.png,1,313.1452917,44.23347222,FHK_216,,205234.86+441400.5,10.659,,,,
0.360:ID:FHK_217.png,1,313.147125,44.55538889,FHK_217,,205235.30+443319.4,6.444,,,,
0.613:ID:GDR1_2162932851524210816.png,3,313.1519644,44.19620838,GDR1_2162932851524210816,,205236.47+441146.3,6.587,,,,
