hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458170.84766,bg,V,14.068,0.02446,9.051,0.204
2457869.68617,bh,V,13.267,0.02193,17.461,0.352
2457457.73611,bg,V,13.803,0.02268,11.552,0.241
2458170.87333,bh,V,14.171,0.02639,7.588,0.184
2457987.57238,bh,V,14.251,0.02738,7.054,0.178
2457821.91031,bg,V,13.289,0.02208,18.549,0.377
2458341.6681,bh,V,13.994,0.02458,8.932,0.202
2458192.89384,bh,V,13.907,0.02387,9.678,0.213
2458140.83976,bg,V,13.349,0.02194,17.551,0.354
2457933.63309,bg,V,13.567,0.02193,14.356,0.29
2458354.52173,bg,V,14.054,0.02434,9.165,0.205
2458244.83391,bg,V,14.155,0.02527,8.356,0.194
2458213.76051,bh,V,13.424,0.02187,15.107,0.304
2458166.77477,bg,V,13.626,0.02204,13.596,0.276
2458021.48191,bh,V,13.838,0.02338,10.321,0.222
2457952.64962,bh,V,14.219,0.02697,7.262,0.18
2457914.66618,bh,V,14.215,0.02692,7.288,0.181
2457803.82137,bh,V,14.186,0.02657,7.487,0.183
2457644.49675,bg,V,14.211,0.02585,7.937,0.189
2458366.55557,bg,V,13.996,0.02388,9.674,0.213
2458226.8201,bh,V,13.507,0.02198,13.992,0.283
2458211.68674,bg,V,13.721,0.02233,12.461,0.256
2458146.88101,bg,V,14.197,0.0257,8.035,0.19
2457656.53578,bh,V,14.157,0.02623,7.692,0.186
2457475.89278,bg,V,14.172,0.02544,8.223,0.192
2458192.80422,bg,V,13.818,0.02275,11.393,0.239
2457975.61423,bh,V,14.28,0.02776,6.867,0.175
2457960.64424,bh,V,13.933,0.02407,9.45,0.209
2457609.49905,bg,V,14.25,0.02629,7.652,0.185
2458329.66992,bh,V,13.971,0.02438,9.125,0.205
2458323.60539,bg,V,13.333,0.02197,17.805,0.36
2458222.77526,bg,V,14.116,0.02489,8.664,0.198
2458187.82794,bh,V,13.56,0.0221,13.322,0.271
2457916.5885,bh,V,14.067,0.02527,8.354,0.194
2458010.57492,bh,V,14.053,0.02513,8.459,0.196
2457585.59603,bh,V,14.173,0.02642,7.577,0.184
2457910.74206,bh,V,13.677,0.02251,11.968,0.248
2457902.61647,bh,V,14.185,0.02656,7.493,0.183
2457877.84204,bg,V,14.327,0.02722,7.133,0.179
2457633.56768,bg,V,14.361,0.02767,6.908,0.176
2457456.76632,bh,V,13.77,0.02297,10.983,0.232
2458136.85232,bg,V,14.094,0.02469,8.841,0.201
2457904.73069,bg,V,13.897,0.0232,10.598,0.226
2457851.78941,bg,V,13.987,0.02381,9.75,0.214
2457850.82356,bh,V,13.742,0.02282,11.266,0.236
2458203.87845,bh,V,13.763,0.02293,11.059,0.233
2458193.80977,bh,V,13.938,0.02411,9.406,0.209
2457966.64163,bg,V,13.725,0.02235,12.417,0.255
2457953.6417,bg,V,13.978,0.02374,9.833,0.215
2457637.53426,bh,V,13.42,0.02186,15.156,0.305
2457607.54974,bh,V,14.154,0.0262,7.71,0.186
2458347.60599,bh,V,13.488,0.02194,14.237,0.287
2457557.52593,bg,V,13.911,0.02329,10.456,0.224
2457475.90825,bh,V,13.976,0.02443,9.082,0.204
2458312.71616,bh,V,13.539,0.02205,13.586,0.276
2457894.67561,bh,V,13.339,0.02186,16.337,0.328
2457800.77633,bg,V,13.802,0.02268,11.564,0.241
2457547.63927,bg,V,14.396,0.02815,6.693,0.173
2458172.75533,bg,V,14.421,0.0285,6.538,0.171
2457879.69265,bh,V,13.927,0.02402,9.507,0.21
2457872.65078,bg,V,13.654,0.02211,13.256,0.27
2457796.85047,bg,V,13.295,0.02206,18.449,0.374
2458220.73135,bg,V,14.272,0.02655,7.498,0.183
2457760.86541,bg,V,13.393,0.02188,16.849,0.339
2458194.8328,bg,V,13.957,0.02359,10.025,0.218
2458157.8442,bg,V,13.977,0.02374,9.839,0.215
2457617.56802,bh,V,13.733,0.02277,11.362,0.238
2458350.59016,bg,V,13.654,0.02211,13.255,0.27
2458319.73679,bh,V,14.374,0.02911,6.3,0.169
2458229.8292,bg,V,13.833,0.02283,11.24,0.236
2458209.68435,bg,V,14.328,0.02724,7.127,0.179
2458202.77651,bh,V,13.578,0.02215,13.11,0.267
2457886.84336,bh,V,13.88,0.02367,9.924,0.216
2457557.68933,bh,V,13.789,0.02308,10.795,0.229
2458180.87846,bh,V,13.899,0.02381,9.748,0.214
2458138.87156,bh,V,13.592,0.02219,12.936,0.264
2457843.67447,bg,V,13.847,0.02291,11.09,0.234
2457622.57367,bh,V,13.906,0.02386,9.693,0.213
2457536.85257,bh,V,13.988,0.02453,8.981,0.203
2457778.86217,bh,V,13.951,0.02422,9.3,0.207
2457566.63715,bh,V,13.668,0.02247,12.065,0.249
2457480.70036,bg,V,13.567,0.02193,14.352,0.29
