Name,Best Period (days),Power,90% FAP,95% FAP,99% FAP
GDR1_2162967864096636288,286.9228688,0.148579104,0.062428685,0.066954162,0.077068357
FHK_516,2.920443549,0.610287975,0.062428685,0.066954162,0.077068357
FHK_182,7.865652254,0.566490384,0.039434224,0.042166079,0.0482946
GDR1_2162121961697794304,308.5689674,0.271161397,0.064944586,0.069670208,0.080227289
FHK_26,13.70879132,0.328360704,0.062428685,0.066954162,0.077068357
FHK_142,308.742706,0.08048739,0.062428685,0.066954162,0.077068357
GDR1_2162962985013647616,94.96047212,0.256451492,0.068441067,0.073547454,0.084944217
FHK_473,286.9228688,0.397991213,0.039762362,0.04251941,0.048704117
2MASS_J20470481+4349114,286.7228304,0.11722751,0.066111571,0.070928302,0.081686895
GDR1_2162966146109606528,4.545546879,0.205642455,0.062428685,0.066954162,0.077068357
FHK_24,3.224282024,0.07309,0.040276495,0.043074974,0.049352039
GDR1_2162951474504020224,115.4029389,0.121571847,0.063482032,0.068091165,0.078390523
FHK_529,4.681837335,0.134845087,0.062777241,0.06733025,0.077505396
FHK_471,3.617925282,0.214205027,0.060718233,0.065111115,0.074931641
FHK_434,3.773894014,0.177867098,0.064944586,0.069670208,0.080227289
GDR1_2162174910053832448,25.45085733,0.053612997,0.064944586,0.069670208,0.080227289
2MASS_J20505568+4421442,19.69372176,0.085533476,0.06399809,0.068650436,0.079045375
GDR1_2163140968460295680,286.9228688,0.278668566,0.062428685,0.066954162,0.077068357
FHK_361,12.48610827,0.278417222,0.039243298,0.041960237,0.048055494
GDR1_2162952470933669632,5.798551244,0.296368674,0.062428685,0.066954162,0.077068357
GDR1_2067128795623856256,266.3260198,0.118508851,0.070408125,0.075676333,0.087430229
FHK_324,25.66477765,0.325223302,0.324663752,0.349115228,0.400879602
FHK_409,12.92331136,0.513419141,0.039441062,0.042172875,0.048301313
GDR1_2162952745812291712,29.60163594,0.122937151,0.062599503,0.067138729,0.077283358
GDR1_2163136364255498624,28.96799242,0.0616468,0.048729609,0.052188814,0.05993702
FHK_514,3.643903303,0.425989476,0.062428685,0.066954162,0.077068357
FHK_551,286.9228688,0.270173073,0.062914173,0.067481405,0.077687972
FHK_138,6.422298319,0.286731316,0.062428685,0.066954162,0.077068357
FHK_281,2.778533722,0.732223841,0.062428685,0.066954162,0.077068357
2MASS_J20502061+4547221,6.078882202,0.445135988,0.332940339,0.358320049,0.411871249
FHK_468,4.43031341,0.152194653,0.065714345,0.070500349,0.081190982
FHK_300,4.676444443,0.123773008,0.062428685,0.066954162,0.077068357
