old_name,preferred_name,ra,dec,Simbad,TMASS,GaiaDR2,NameFHK
FHK 158,FHK 158,313.00467,44.54417,,2MASS J20520112+4432391,Gaia DR2 2163145057269450880,FHK 158
GDR1 2163144541882323584,FHK 160,313.01114,44.458,2MASS J20520267+4427287,2MASS J20520267+4427287,Gaia DR2 2163144546173223040,FHK 160
GDR1 2163144576233088640,FHK 162,313.0153,44.47723,2MASS J20520366+4428379,2MASS J20520366+4428379,Gaia DR2 2163144576233088640,FHK 162
FHK 163,FHK 163,313.01933,44.62511,EM* LkHA  167,2MASS J20520462+4437304,Gaia DR2 2163147741628918144,FHK 163
FHK 164,FHK 164,313.02204,44.29147,,2MASS J20520530+4417292,,FHK 164
FHK 165,LkHA  168,313.02521,44.28778,EM* LkHA  168,2MASS J20520604+4417160,Gaia DR2 2162948867459145856,FHK 165
GDR1 2162956903341232128,FHK 166,313.028,44.46539,2MASS J20520672+4427553,2MASS J20520672+4427553,Gaia DR2 2162956907637974528,FHK 166
FHK 530,FHK 530,313.028,44.48989,,2MASS J20520672+4429235,Gaia DR2 2163144679312300800,FHK 530
FHK 172,FHK 172,313.04821,44.29856,,2MASS J20521157+4417547,Gaia DR2 2162949004898096896,FHK 172
GDR1 2162955185352996096,FHK 175,313.0539,44.34817,2MASS J20521294+4420534,2MASS J20521294+4420534,Gaia DR2 2162955189651014656,FHK 175
FHK 176,FHK 176,313.05646,44.20058,,2MASS J20521355+4412019,Gaia DR2 2162945156607597184,FHK 176
GDR1 2066844954118735744,FHK 177,313.05654,43.67747,2MASS J20521358+4340389,2MASS J20521358+4340389,Gaia DR2 2066844954123398912,FHK 177
GDR1 2066790146043148928,FHK 180,313.06309,43.50207,2MASS J20521514+4330074,2MASS J20521514+4330074,Gaia DR2 2066790150340632960,FHK 180
FHK 179,FHK 179,313.06312,44.28908,2MASS J20521513+4417204,2MASS J20521513+4417204,Gaia DR2 2162946049957787392,FHK 179
FHK 181,LkHA  171,313.06438,44.46972,EM* LkHA  171,2MASS J20521545+4428107,Gaia DR2 2162956972059522944,FHK 181
FHK 182,FHK 182,313.06962,44.25811,,2MASS J20521670+4415291,Gaia DR2 2162945740723152768,FHK 182
FHK 183,FHK 183,313.07437,44.35444,,2MASS J20521785+4421159,Gaia DR2 2162955086571795712,FHK 183
GDR1 2162955803828359040,FHK 184,313.07663,44.41725,2MASS J20521839+4425020,2MASS J20521839+4425020,Gaia DR2 2162955803828359040,FHK 184
GDR1 2162945976943020416,FHK 185,313.07674,44.27513,2MASS J20521841+4416305,2MASS J20521841+4416305,Gaia DR2 2162945976943020416,FHK 185
GDR1 2162930652500328832,FHK 186,313.07691,44.08751,2MASS J20521845+4405151,2MASS J20521845+4405151,Gaia DR2 2162930656797988224,FHK 186
GDR1 2162944911791083136,FHK 190,313.09386,44.23338,2MASS J20522252+4414002,2MASS J20522252+4414002,Gaia DR2 2162944916089431168,FHK 190
FHK 192,FHK 192,313.097,43.08236,2MASS J20522327+4304564,2MASS J20522327+4304564,Gaia DR2 2066743146218335232,FHK 192
FHK 200,FHK 200,313.10921,44.57394,,2MASS J20522622+4434261,Gaia DR2 2163146779556221952,FHK 200
GDR2 2162951684957670144,LkHA  172,313.11152,44.28514,EM* LkHA  172,2MASS J20522676+4417066,Gaia DR2 2162951684957670144,FHK 202
FHK 532,FHK 532,313.11162,44.6185,,2MASS J20522679+4437066,Gaia DR2 2163147191873090432,FHK 532
FHK 203,FHK 203,313.11329,44.07753,2MASS J20522717+4404391,2MASS J20522717+4404391,Gaia DR2 2162931859388891648,FHK 203
