star Identifier,odr slope,odr slope error,intercept,intercept error,angle,angle error,pythag
FHK_459,2.177404112368311,0.18550180265603267,13.36687303891479,0.34819738404928824,65.33245400777632,1.8358649087372005,0.57870814020371
FHK_45,1.1656774004857042,0.09452257474182502,16.16230434245726,0.18581000414335858,49.37468754641274,2.304242847063209,0.3390429061012531
FHK_460,1.6289617139889119,0.31112573899789486,16.638367456875013,0.663802194832158,58.45473671201538,4.863866079315852,1.8455416677079561
FHK_464,0.9535040025837829,0.02827023426995251,19.31971974851664,0.04133507538715264,43.63654155609734,0.8460809247458032,0.952185657350281
FHK_468,0.9622695395338383,0.02835679991430401,19.122533864274605,0.04529344431863258,43.89845416052063,0.8446949001866508,0.9682604503727055
FHK_46,1.8442611036823497,0.23777638253560118,13.84675896748632,0.3351249658670774,61.53245130437286,3.052523343114559,0.2769061715726448
FHK_473,-6.772358041374124,1.1671992147435564,26.6473971114455,1.4672542898239769,-81.60045395148892,1.3846305508904637,3.4558599148185642
FHK_479,0.13179270496380496,0.10056398470915956,13.288180738525678,0.09792666875601075,7.507896283258508,5.627695150587378,0.19759185691217018
FHK_47,1.1243184046725716,0.1876618098856424,14.810830643313285,0.35189915744877887,48.34921707037807,4.676509107697298,0.29211068282326436
FHK_485,0.8369544242918054,0.03271033996377343,18.695308665012778,0.0727664233223475,39.92779645666295,1.1026667316351297,0.8260392937884729
FHK_489,1.329512517622946,0.10183171514754663,14.209912718408155,0.2370513497502662,53.05114677738097,2.0939890181990357,0.2751300833387657
FHK_48,2.014023992994768,0.22638312713293685,13.955550508788189,0.38281580335171306,63.59475474658273,2.5278553113962894,0.6500325169500759
FHK_490,1.1981639258942112,0.06705959998165645,16.969964350311244,0.16976569296393507,50.151275474004805,1.5835926738811859,0.7687683216037401
FHK_493,0.8049714009631012,0.2139411637007263,15.893238577971399,0.3745506190416137,38.833070165706694,7.297370842700799,0.27254892842716477
FHK_496,0.6978777855490619,0.1426843639755183,17.93721120837753,0.3049097345247773,34.910324977635085,5.449192379157444,0.7735358704664199
