ID,RA,DEC,NU,rMean,PER,Q,M,primary_class,secondary_class,per_changed,star Identifier,odr slope,odr slope error,intercept,intercept error,angle,angle error,pythag
FHK_146,312.9820833333334,44.5646388888889,0.0190802156271585,15.871081526045014,47.6288296,0.875061233,0.850254675,apd,,,FHK_146,4.087554146401793,0.414200770178156,10.119898332864892,0.7680816908950767,76.25288493358202,1.3453177699182324,0.809195390528528
FHK_15,312.654125,44.34716666666666,0.0234484449780067,15.2951091471519,,0.917086358,0.446797566,l,,,FHK_15,5.6599901418518375,0.8945235461800509,6.467197264020975,1.6949911757584544,79.98045385875703,1.499416601679411,0.6967784172742433
FHK_150,312.9936666666666,44.62338888888888,0.0123198905774066,17.326969899999998,1.905820305,0.119857102,0.134623175,p,,,FHK_150,0.9497179058711744,0.1019503576555138,17.44559994969284,0.2522388267322615,43.52270244045829,3.068155614791425,0.7563786557681297
FHK_153,312.99662499999994,44.42880555555556,0.0117449855050601,15.192673933544304,4.154410344,0.796673072,-0.120431691,qps,,,FHK_153,1.1154205534798505,0.1883785542040469,14.984118439762964,0.3445043758847985,48.123044587015535,4.722444378058302,0.3214520533523929
FHK_155,312.9975416666666,44.27286111111111,0.0083494597378896,14.666361271296294,,0.944604724,-0.314218639,b,,,FHK_155,0.8836592649684325,0.0750145509790525,14.85770675901783,0.1245699959064587,41.46572150733151,2.409948715759055,0.2863970199594204
FHK_158,313.00466666666665,44.54416666666668,0.0062942173076196,15.927255687619049,4.758,0.7622063571331341,-0.200866334,qps,,True,FHK_158,0.7820356869577025,0.1024550902659753,16.31601625021247,0.1830432766960008,38.02667624994094,3.599453435977003,0.2529272738293641
FHK_163,313.0193333333333,44.625111111111096,0.0263447063876699,14.156162515555556,54.68595864,0.803827277,1.110095103,qpd,,,FHK_163,3.341298454333061,0.2802974878344659,9.140747159045398,0.5988969135178035,73.33835497678032,1.3192526227383332,0.9286603029519392
FHK_164,313.02204166666667,44.29147222222223,0.0246674863426654,17.454611510759488,10.169,0.7436173464984345,0.653486386,qpd,,True,FHK_164,1.9771379900497468,0.2678164416659956,15.218219709653368,0.6126745889421725,63.17055317381324,3.098804852655161,1.2140903325239425
FHK_165,313.0252083333333,44.28777777777778,0.0073760698170036,12.924269782901554,,0.94286067,-0.434041268,b,l,,FHK_165,0.7269203152174949,0.0830849308732349,13.25838457125616,0.101117342912997,36.014163846952414,3.1089172166908465,0.1974779527387685
FHK_172,313.04820833333326,44.29855555555557,0.0149120500256585,16.146627497468355,3.535720409,0.350141197,0.415245694,p,,,FHK_172,3.1139232912396824,0.3843134479863928,12.0115776636772,0.7551788403057094,72.19618680042826,2.0496196577365016,0.5739417271000732
FHK_179,313.063125,44.28908333333332,0.0239118186392349,18.67728777010582,191.1471525,0.891535976,-0.104542028,l,,,FHK_179,1.6139238069063475,0.0904849557526998,17.404968726441354,0.1814557016829372,58.21731616933155,1.430855359633393,1.571320421869716
FHK_181,313.0643750000001,44.469722222222224,0.0176453431334284,16.667725382594934,211.017524,0.751613329,0.267596968,qpd,,,FHK_181,2.6240904786704053,0.2336960505051222,13.369010893810648,0.4715990041920745,69.13893566218891,1.693867227285651,0.826041247431861
FHK_182,313.0696249999998,44.25811111111111,0.0094634776200692,17.548647459662288,7.864284321,0.213592118,0.253614189,p,l,,FHK_182,1.1102737257857735,0.066400192636248,17.32628826425684,0.1350618309275386,47.99130739301224,1.6990068743267943,0.6481674310837121
FHK_183,313.074375,44.35444444444445,0.0084060194269332,17.080885022468355,3.211301186,0.339658929,-0.009943933,p,,,FHK_183,1.287181088122352,0.086747212596113,16.511459075019086,0.171806081214541,52.15667105802729,1.864589322207751,0.459062088352224
FHK_192,313.097,43.08236111111111,0.0117899722350061,17.51118385960265,7.2293159,0.185978552,0.194843522,p,l,,FHK_192,2.003840744133159,0.169668336285756,15.481052265747424,0.3418934981230705,63.4788929508482,1.9270038135050007,0.5918840941048028
FHK_200,313.1092083333333,44.57394444444444,0.0066072051054497,15.642248783860762,1.43293698,0.366648534,-0.184694897,p,,,FHK_200,1.2963812711244742,0.1121626241507467,14.976722120223137,0.2492815301891289,52.35419437235515,2.401753378685397,0.3663405799810351
FHK_203,313.11329166666667,44.0775277777778,0.017298234494587,18.32473673219048,0.915982453,0.899913075,-0.007048545,s,,,FHK_203,1.159993000973783,0.0542439370732888,17.975208071303378,0.1181835838229954,49.23622383188718,1.319339250261355,1.1272026919915743
FHK_21,312.66883333333334,44.3473888888889,0.0090972942099461,17.449447292088607,1.035877909,0.903036766,-0.280924173,b,,,FHK_21,1.1241320516492852,0.0611282825629745,17.150835564690333,0.1463286702390878,48.34450141552274,1.5432627935658323,0.6590764194609561
FHK_210,313.1287083333333,44.33655555555556,0.0575314370148184,17.216935001265824,,0.895142814,0.47661891,apd,,,FHK_210,4.746813977718956,1.3034130729024784,10.02054581867774,2.5174550575827963,78.10358817724526,3.120331146041881,2.25756840696686
FHK_213,313.14091666666667,44.40719444444444,0.0211488645699885,18.33769013734177,8.937695418,0.833252799,-0.073479322,qps,,,FHK_213,1.083067764844594,0.0564854644866836,18.152430064606868,0.1321764541885173,47.283608347881575,1.4872027370425709,1.4325854679024363
FHK_216,313.14529166666665,44.23347222222223,0.010985937098055,16.1096266894636,10.64909183,0.17096604,0.295120494,p,l,,FHK_216,3.2279717839734445,0.2778407402704075,12.2639493651256,0.4778428965008698,72.78743431617079,1.3827661410604806,0.5782976337304354
FHK_217,313.1471249999999,44.55538888888889,0.0134592915899969,17.3700066306962,6.441763938,0.360205793,0.279628721,p,,,FHK_217,1.0185528607389776,0.0514906576556668,17.31487007138739,0.1473421906864676,45.52660036661679,1.4434010468959395,0.8242980216777881
FHK_22,312.678375,44.36530555555554,0.0108562699755055,17.840674112658228,1.025153559,0.891905468,-0.225483891,s,,,FHK_22,0.8726642331369119,0.0487656306941303,18.16519781532393,0.1241231458367693,41.11004008252188,1.5897459295741836,0.893245133020981
